transaction_date,revenue
2019-01-01,7380.49
2019-01-02,13438.47
2019-01-03,23834.21
2019-01-04,16603.41
2019-01-05,17373.19
2019-01-06,14350.73
2019-01-07,5905.04
2019-01-08,7585.6
2019-01-09,18482.71
2019-01-10,14724.460000000001
2019-01-11,11747.94
2019-01-12,10492.28
2019-01-13,14939.64
2019-01-14,4484.37
2019-01-15,8485.78
2019-01-16,11555.81
2019-01-17,17860.91
2019-01-18,20372.93
2019-01-19,12778.72
2019-01-20,13621.84
2019-01-21,5537.52
2019-01-22,11832.49
2019-01-23,15113.9
2019-01-24,14025.51
2019-01-25,13320.68
2019-01-26,13648.91
2019-01-27,13526.25
2019-01-28,6275.81
2019-01-29,7568.16
2019-01-30,18683.32
2019-01-31,18073.5
2019-02-01,14363.76
2019-02-02,12488.57
2019-02-03,9648.86
2019-02-04,5539.69
2019-02-05,3476.45
2019-02-06,16022.94
2019-02-07,14108.99
2019-02-08,11348.85
2019-02-09,12904.13
2019-02-10,12780.38
2019-02-11,5818.37
2019-02-12,4336.04
2019-02-13,12074.68
2019-02-14,31792.73
2019-02-15,9908.83
2019-02-16,11469.07
2019-02-17,9720.78
2019-02-18,5587.8
2019-02-19,8683.84
2019-02-20,9608.81
2019-02-21,19181.58
2019-02-22,11702.98
2019-02-23,8244.52
2019-02-24,13097.539999999999
2019-02-25,4122.52
2019-02-26,4922.26
2019-02-27,13645.23
2019-02-28,14219.6
2019-03-01,14619.92
2019-03-02,10855.63
2019-03-03,10868.09
2019-03-04,10589.97
2019-03-05,7213.28
2019-03-06,13617.49
2019-03-07,13477.82
2019-03-08,10142.39
2019-03-09,9803.71
2019-03-10,9506.34
2019-03-11,4899.34
2019-03-12,5002.06
2019-03-13,11699.67
2019-03-14,9150.37
2019-03-15,17529.3
2019-03-16,10079.82
2019-03-17,8012.27
2019-03-18,4864.09
2019-03-19,8786.0
2019-03-20,20378.57
2019-03-21,14654.74
2019-03-22,14762.76
2019-03-23,11302.25
2019-03-24,18351.56
2019-03-25,5094.17
2019-03-26,8044.48
2019-03-27,17040.03
2019-03-28,15636.2
2019-03-29,15885.85
2019-03-30,8756.09
2019-03-31,8983.83
2019-04-01,4890.02
2019-04-02,4559.99
2019-04-03,8272.44
2019-04-04,10072.8
2019-04-05,54660.229999999996
2019-04-06,9749.82
2019-04-07,19913.84
2019-04-08,5913.0199999999995
2019-04-09,6770.17
2019-04-10,13529.02
2019-04-11,8766.04
2019-04-12,10321.57
2019-04-13,16016.210000000001
2019-04-14,14632.0
2019-04-15,8944.16
2019-04-16,6648.27
2019-04-17,16617.22
2019-04-18,46773.64
2019-04-19,14848.44
2019-04-20,9455.09
2019-04-21,19638.17
2019-04-22,6366.46
2019-04-23,7533.49
2019-04-24,10390.79
2019-04-25,8927.04
2019-04-26,13250.73
2019-04-27,23257.67
2019-04-28,8947.37
2019-04-29,4676.85
2019-04-30,7275.86
2019-05-01,16106.6
2019-05-02,9687.01
2019-05-03,11256.48
2019-05-04,9581.6
2019-05-05,11511.039999999999
2019-05-06,5310.66
2019-05-07,6900.64
2019-05-08,13217.6
2019-05-09,13478.91
2019-05-10,9537.62
2019-05-11,9003.57
2019-05-12,11179.37
2019-05-13,6295.28
2019-05-14,4555.6
2019-05-15,10281.74
2019-05-16,12607.83
2019-05-17,8947.41
2019-05-18,8235.14
2019-05-19,13051.32
2019-05-20,6578.18
2019-05-21,6774.2
2019-05-22,12283.96
2019-05-23,10465.25
2019-05-24,11728.68
2019-05-25,9961.61
2019-05-26,9989.61
2019-05-27,4359.77
2019-05-28,1689.6399999999999
2019-05-29,6066.24
2019-05-30,15779.3
2019-05-31,21341.56
2019-06-01,9018.75
2019-06-02,11484.74
2019-06-03,5849.93
2019-06-04,6160.76
2019-06-05,13773.35
2019-06-06,8067.2
2019-06-07,8444.34
2019-06-08,11240.7
2019-06-09,11043.01
2019-06-10,4082.82
2019-06-11,7554.86
2019-06-12,19587.14
2019-06-13,15581.34
2019-06-14,16382.42
2019-06-15,9630.61
2019-06-16,12928.51
2019-06-17,6819.99
2019-06-18,8271.47
2019-06-19,14231.68
2019-06-20,9866.29
2019-06-21,13017.49
2019-06-22,13307.42
2019-06-23,10622.29
2019-06-24,4993.72
2019-06-25,4441.84
2019-06-26,14652.41
2019-06-27,10965.48
2019-06-28,16700.6
2019-06-29,11971.9
2019-06-30,10388.32
2019-07-01,4566.16
2019-07-02,4405.64
2019-07-03,7447.91
2019-07-04,6359.26
2019-07-05,17601.21
2019-07-06,12631.91
2019-07-07,12305.09
2019-07-08,5802.35
2019-07-09,5896.36
2019-07-10,15196.88
2019-07-11,14772.48
2019-07-12,10758.9
2019-07-13,27090.54
2019-07-14,12401.35
2019-07-15,7901.05
2019-07-16,6604.43
2019-07-17,14652.52
2019-07-18,37914.38
2019-07-19,14702.26
2019-07-20,15094.79
2019-07-21,8478.710000000001
2019-07-22,6423.06
2019-07-23,7874.650000000001
2019-07-24,15733.4
2019-07-25,14731.93
2019-07-26,9130.24
2019-07-27,11265.9
2019-07-28,12767.81
2019-07-29,3612.25
2019-07-30,7995.59
2019-07-31,20519.06
2019-08-01,17943.99
2019-08-02,37859.7
2019-08-03,11221.36
2019-08-04,14469.57
2019-08-05,6852.25
2019-08-06,6247.23
2019-08-07,15496.84
2019-08-08,16343.8
2019-08-09,13698.13
2019-08-10,13641.539999999999
2019-08-11,14466.9
2019-08-12,6665.81
2019-08-13,5048.24
2019-08-14,19176.77
2019-08-15,10882.71
2019-08-16,15826.2
2019-08-17,10531.02
2019-08-18,12135.98
2019-08-19,8930.7
2019-08-20,2877.38
2019-08-21,11487.02
2019-08-22,14293.68
2019-08-23,24403.37
2019-08-24,9349.62
2019-08-25,11713.03
2019-08-26,5294.58
2019-08-27,8785.42
2019-08-28,11464.13
2019-08-29,14079.64
2019-08-30,15105.65
2019-08-31,14918.11
2019-09-01,17071.25
2019-09-02,4100.94
2019-09-03,5104.2
2019-09-04,7099.05
2019-09-05,11143.94
2019-09-06,13347.0
2019-09-07,15523.08
2019-09-08,5411.22
2019-09-09,8068.2
2019-09-10,6799.55
2019-09-11,14223.44
2019-09-12,15021.43
2019-09-13,25339.129999999997
2019-09-14,7945.16
2019-09-15,13712.36
2019-09-16,6071.51
2019-09-17,5192.5
2019-09-18,11923.74
2019-09-19,10590.7
2019-09-20,10746.12
2019-09-21,9516.82
2019-09-22,20099.25
2019-09-23,9158.11
2019-09-24,10154.65
2019-09-25,18595.64
2019-09-26,18765.34
2019-09-27,25230.39
2019-09-28,14888.84
2019-09-29,10823.23
2019-09-30,8881.61
2019-10-01,9635.07
2019-10-02,13820.710000000001
2019-10-03,18403.43
2019-10-04,19048.68
2019-10-05,9679.1
2019-10-06,12787.380000000001
2019-10-07,7148.96
2019-10-08,8457.210000000001
2019-10-09,16865.46
2019-10-10,18292.14
2019-10-11,20148.23
2019-10-12,21827.0
2019-10-13,12794.34
2019-10-14,8188.17
2019-10-15,9065.86
2019-10-16,15205.75
2019-10-17,16585.29
2019-10-18,9999.4
2019-10-19,13841.83
2019-10-20,12735.66
2019-10-21,8653.83
2019-10-22,9125.33
2019-10-23,16843.28
2019-10-24,17011.02
2019-10-25,10362.57
2019-10-26,12173.12
2019-10-27,12309.09
2019-10-28,10637.4
2019-10-29,7553.9
2019-10-30,18748.28
2019-10-31,11733.79
2019-11-01,18231.84
2019-11-02,13503.24
2019-11-03,13271.56
2019-11-04,8072.12
2019-11-05,9653.54
2019-11-06,17291.11
2019-11-07,17727.69
2019-11-08,18965.8
2019-11-09,12235.78
2019-11-10,13805.68
2019-11-11,8331.22
2019-11-12,10390.119999999999
2019-11-13,17808.23
2019-11-14,22350.46
2019-11-15,13757.97
2019-11-16,16175.07
2019-11-17,14070.17
2019-11-18,11595.63
2019-11-19,8631.73
2019-11-20,20098.8
2019-11-21,19792.78
2019-11-22,28240.77
2019-11-23,16225.13
2019-11-24,23928.69
2019-11-25,14051.25
2019-11-26,13777.5
2019-11-27,52454.29
2019-11-28,18994.92
2019-11-29,23079.08
2019-11-30,12430.45
2019-12-01,12512.76
2019-12-02,9560.0
2019-12-03,12849.039999999999
2019-12-04,22689.42
2019-12-05,23338.079999999998
2019-12-06,28154.61
2019-12-07,17889.03
2019-12-08,22005.54
2019-12-09,10851.56
2019-12-10,14124.24
2019-12-11,30576.94
2019-12-12,18698.15
2019-12-13,22566.18
2019-12-14,23201.6
2019-12-15,28756.62
2019-12-16,16848.13
2019-12-17,12540.47
2019-12-18,30245.85
2019-12-19,22576.44
2019-12-20,19292.67
2019-12-21,18646.59
2019-12-22,16637.12
2019-12-23,7492.03
2019-12-24,5427.76
2019-12-25,10585.66
2019-12-26,10307.63
2019-12-27,13661.59
2019-12-28,10994.42
2019-12-29,12011.27
2019-12-30,8068.47
2019-12-31,10148.32
