existing,new,total,new_pct,existing_pct
0.0,403624.58,403624.58,100.0,0.0
39230.64,271589.16,310819.8,87.4,12.6
54741.54,294866.55,349608.08999999997,84.3,15.7
168105.33,233513.09,401618.42,58.1,41.9
110574.61,197188.81,307763.42,64.1,35.9
128924.97,192156.41,321081.38,59.8,40.2
222701.53,149936.54,372638.07,40.2,59.8
209665.62,191544.75,401210.37,47.7,52.3
213977.9,146570.5,360548.4,40.7,59.3
192164.8,217516.48,409681.28,53.1,46.9
291746.31,217196.31,508942.62,42.7,57.3
276448.22,246809.97,523258.18999999994,47.2,52.8
